Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2 ;Rješavanje problema;Puko pamćenje činjenica ;Indikator 3;Multiperspektivni pristup;Pristup samo jedne perspektive;Indikator 4;Diferencirani prikazi;Stereotipni prikazi;Napomena/komentar na lekciju
1;AS/DŠ;Jezik i književnost;B;6;JIK3;Usmena književnost: Dijete sa devet čiraka;Ne;;Da;kreativnost AS-11-2;Da;porijeklo, tradicija;ignorancija, imputacija;1;AS-11-2, DŠ-11;;2;;;2;;;2;;DŠ-11;"(AS) Govori se o Ljubuškom kao ""našem"" sakupljaču blaga - str. 11, primjer 3. (DŠ) Stereotipni prikaz - str.11 navode se samo primjeri iz bošnjačke usmene tradicije."
2;AS/DŠ;Jezik i književnost;B;6;JIK3;Šaljiva narodna priča: Nasrudin u bostanu;Ne;;Ne;;Ne;;;2;DŠ-13;AS-13-2;2;AS-13-4, DŠ-13;AS-13-1, AS-13-3;2;;;0;;;
3;AS/DŠ;Jezik i književnost;B;6;JIK3;Epska narodna pjesma: Ni zorice ni bijela danka;Da;neprijateljstvo, neravnopravnost;Da;odgovornost, solidarnost;Da;porijeklo, teritorija, tradicija;imputacija AS-16, DŠ-16;2;;AS-16-2;2;;;2;;;2;;AS-14, AS-16, AS-14-1, DŠ-16;(AS) Zadatak na str.17 izdvojen iz cjeline, jeste solidan zadatak jer potiče na razmišljanje o epizodama. Imputira se stav da su bosanski neprijatelji nevjernici str.16. Stereotipni prikaz - (str.14 primjer 1 - postavljeno pitanje na ovaj način ne omogućava drugačiji stav o radnicima već isključivo kao herojima). (DŠ) Imputacija (imputira se stav da su dušmani Bosne kauri/nevjernici) str. 16.
4;AS/DŠ;Jezik i književnost;B;6;JIK3;"Lirska narodna pjesma: Sestre bez brata; Izgubljeno stado (jevrejska narodna pjesma); Uspavanka (romska narodna pjesma)";Ne;;Da;jednakost;Da;porijeklo;ignorancija AS-19-5, DŠ-19, insinuacija;2;;;2;;AS-18-, AS-18-2;2;AS-19-3;;2;;AS-19, DŠ-19;(AS) i (DS) Stereotipna predodžba o Romima implicirana je pitanjem šta se može doznati o životu Roma u pjesmi od osam stihova. Umjesto da se govori o motivima i značenjima pojedinih stihova.
5;AS/DŠ;Jezik i književnost;B;6;JIK3;Narodna basna: Čavka i tuđe perje;Ne;;Da;jednakost, odgovornost;Ne;;;1;AS-20-1, DŠ-20, DŠ-22;;2;AS-20-1, AS-20-2;;2;;;0;;;
6;AS/DŠ;Jezik i književnost;B;6;JIK3;Umjetnička proza, poezija i drama - N. Ibrišimović: Sijelo mudraca;Ne;;Da;život, prijateljstvo, nesebičnost;Ne;;;1;AS-24-1, DŠ-26;;1;AS-25, AS-26, DŠ-25, DŠ-26;;2;;;0;;;
7;AS/DŠ;Jezik i književnost;B;6;JIK3;Umjetnička bajka: Hans Kristijan Andersen: Slavuj;Ne;;Da;solidarnost, život;Ne;;;1;AS-30-2, DŠ-30;;1;;AS-30, DŠ-30;2;;;1;AS-30-3, DŠ-30;;
8;AS/DŠ;Jezik i književnost;B;6;JIK3;Umjetnička lirska pjesma - Ibrahim Kajan: U očima ptice žute;Ne;;Da;sloboda, kreativnost;Ne;;;2;AS-32-3, DŠ-32;;1;;;1;AS-31, AS-32;;0;;;
9;AS/DŠ;Jezik i književnost;B;6;JIK3;Šimo Ešić: Cvjetko;Ne;;Da;solidarnost, život;Ne;;;2;DŠ-35, DŠ-36;;1;DŠ-36;;2;;;0;;;
10;AS/DŠ;Jezik i književnost;B;6;JIK3;Isidora Sekulić: Bure;Ne;;Da;sloboda, kreativnost;Ne;;;2;DŠ-39;AS-39-1;2;DŠ-39;AS-39-1;2;;DŠ-39;0;;DŠ-39;(AS i DŠ) Na str. 39 u pitanjima za interpretaciju više puta koriste termin književnica umjesto pripovjedačica ili naratorski glas.
