Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
1;NH/FB;Geografija;B;6;GZ1;Uvod u geografiju;Ne;;Da;odgovornost, zaštitaživotnesredine NH-8-1.1;Ne;;;2;;;0;;;2;;;2;;
2;NH/FB;Geografija;B;6;GZ1;Kosmos i kosmička tijela;Ne;;Ne;;Ne;;;2;;;2;;;2;;NH-14-2.1, FB-10-2.1;0;;
3;NH/FB;Geografija;B;6;GZ1;Sunce i Sunčev sistem;Ne;;Ne;;Ne;;;0;;;2;;;0;;;0;;
4;NH/FB;Geografija;B;6;GZ1;Zemlja u Sunčevom sistemu;Ne;;Ne;;Ne;;;2;;;0;;;1;;FB-20, FB-21;0;;
5;NH/FB;Geografija;B;6;GZ1;Geografska orijentacija - horizont i orijentacija na horizontu;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
6;NH/FB;Geografija;B;6;GZ1;Orijentacija na površini zemlje;Ne;;Da;saradnja NH-28-6.1;Ne;;;1;FB-30-6.1;;1;FB-30-6.1;;0;;;0;;
7;NH/FB;Geografija;B;6;GZ1;Zemljina kretanja - prividno kretanje Sunca, rotacija Zemlje;Ne;;Ne;;Ne;;;1;NH-34-7.1a, NH-34-7.1b;;1;NH-34-7.1a, NH-34-7.1b;;0;;;0;;
8;NH/FB;Geografija;B;6;GZ1;Revolucija Zemlje;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
9;NH/FB;Geografija;B;6;GZ1;Toplotni pojasevi;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
10;NH/FB;Geografija;B;6;GZ1;Predstavljanje Zemljine površine na ravni;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
11;NH/FB;Geografija;B;6;GZ1;Zemlja i Zemljine sfere;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
12;NH/FB;Geografija;B;6;GZ1;Litosfera i kora Zemlje;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
13;NH/FB;Geografija;B;6;GZ1;Endogene ili unutrašnje sile;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
14;NH/FB;Geografija;B;6;GZ1;Egzogene ili vanjske sile;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
15;NH/FB;Geografija;B;6;GZ1;Atmosfera - zračni omotač Zemlje;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
16;NH/FB;Geografija;B;6;GZ1;Zračni pritisak - vjetar;Ne;;Da;odgovornost, zaštitaživotnesredine, život NH-69-16.1;Ne;;;2;;;2;;;0;;;0;;
17;NH/FB;Geografija;B;6;GZ1;Atmosferski procesi;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
18;NH/FB;Geografija;B;6;GZ1;Vrijeme i klima;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
19;NH/FB;Geografija;B;6;GZ1;Hidrosfera - vodeni omotač;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
20;NH/FB;Geografija;B;6;GZ1;Dinamika svjetskog okeana;Ne;;Da;zaštitaživotnesredine, odgovornost, život, zajedništvo NH-85-20.2;Ne;;;2;;;2;;;0;;;0;;
21;NH/FB;Geografija;B;6;GZ1;Kopnene vode;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
22;NH/FB;Geografija;B;6;GZ1;Tekućice;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
23;NH/FB;Geografija;B;6;GZ1;Jezera, močvare i bare, led na Zemlji, značaj kopnenih voda;Ne;;Da;zaštitaživotnesredine, odgovornost, zajedništvo NH-91-23.1 i NH-91-23.2;Ne;;;2;;;2;;;0;;;0;;
24;NH/FB;Geografija;B;6;GZ1;Biosfera;Ne;;Da;život, zaštitaživotnesredine NH-94-24.1;Ne;;;2;;;2;;;0;;;0;;
25;NH/FB;Geografija;B;6;GZ1;Vodene biogeografske oblasti;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
26;NH/FB;Geografija;B;6;GZ1;Demografske odlike na Zemlji - ekumena, porast svjetskog stanovništva;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
27;NH/FB;Geografija;B;6;GZ1;Prirodno kretanje stanovništva migracije - prostorno kretanje stanovništva ;Ne;;Da;jednakost, život NH-106-27.2;Ne;;;2;;;2;;;0;;;2;;NH-106-27.1
28;NH/FB;Geografija;B;6;GZ1;Strukture stanovništva;Ne;;Da;sloboda, život,  ravnopravnost NH-109-28.2, NH-109-28.3, FB-109-28.1, zajedništvo, solidarnost, odgovornost, obrazovanje NH-113-28.8, NH-113-28.11, NH-114-28.12a;Da;porijeklo;relativizacija, insinuacija, redukcija, ignorancija;0;;;0;;;2;;NH-109-28.1, NH-111-28.7, NH-113-28.10;2;;NH-113-28.9
29;NH/FB;Geografija;B;6;GZ1;Proizvodi ljudske djelatnosti na Zemlji - naselja i tipovi naselja na Zemlji;Ne;;Ne;;Ne;;;2;;;2;;;0;;;0;;
30;NH/FB;Geografija;B;6;GZ1;Privreda i privredne djelatnosti;Ne;;Da;život NH-120-30.1, zaštitaživotnesredine, odgovornost NH-122-30.2, NH-123-30.3, NH-124-30.4, NH-124-30.6, obrazovanje NH-124-30.5   ;Ne;;;2;;;2;;;0;;;0;;
