Šifra udžbenika;Kod;Primjer
V10;NI-10;...starac, mudar i učen čovjek…
V10;NI-100-1;Kutak za razgovor: 0 kome se govori u pročitanoj priči? Šta je Vedad volio? Čeqa se rado sjeća? Zašto? Čemu ga je babo naučio kad su išli u šumu?  
V10;NI-100-2;Slažeš li se sa ovakvim razmišljanjem o životu? Zašto? 
V10;NI-101-1;U Suri El -Ma'un st če se vrijednost namjere, kao i štetnost neiskrenosti u djelima. 
V10;NI-101-2;Ljudi koji se pretvaraju u svojim djelima su licemjeri. Licemjerstvo ili dvoličnjaštvo je ružna osobina.
V10;NI-103-1;Razgovor potaknut tekstom: Šta je primijetio djed Hašim? Zašto je Edin bio nezadovoljan i ljut? Na koji način ga je djed HašIm potakao na razmišljanje? Šta je dječak shvatio? 
V10;NI-103-2;Šta će se desiti s onim ljudima koji zloupotrebljavaju Božije blagodati? Iz sure El-Ma'un izdvoji blagodati koje čovjek ne koristi na Pravome putu. 
V10;NI-103-3;Allahova, dž. š, pravednost obuhvata oba svijeta. 
V10;NI-103-4;Dok živi na ovome svijetu, čovjek imma priliku da sve blagodati koristi na lijep i dozvoljen način, da dokazuje i Iskazuje zahvalnost na njima ili da ih zloupotrebljava …
V10;NI-103-5;Pavednost Božija je savršena. Iskreni vjernik se raduje Danu provođenja Apsolutne pravde. 
V10;NI-103-7;Izaberi zadaću: Objasni kako se zalažeš za pravdu. Napravi listu svojih pravednih postupaka. 
V10;NI-105-1;Na koji način se možeš obraćati Bogu? 
V10;NI-105-2;Kome svoje molitve upućuju pripadnici drugih religija? 
V10;NI-105-3;Pronađi zajedničke elemente u molitvama monoteističkih religija.
V10;NI-105-4;Šta molitva predstavlja za čovjeka? Na koji način jevreji obavljaju molitve? Kako kršćani obavljaju svoje molitve? Na koji se način muslimani obraćaju Allahu, dž. š.?
V10;NI-105-5;Navedi značaj vode u svim religijama?
V10;NI-106-1;Kako pjesnik doživljava molitvu? Izdvoj pjesničku sliku u kojoj se spominje molitva kao obaveza? Kako pjesnik podstiče djecu da obavljaju namaz zajedno sa svojim roditeljima? 
V10;NI-106-2;Zbog čega je dova važan dio naše svakodnevnice? Šta je zajedničko svim religijama? Zašto je džemat važan u islamu? Koliko je namaz obavljen u džematu vrjedniji od namaza obavljenog pojedinačno? Kakva je nagrada obećana za namaz obavljen u džematu? 
V10;NI-106-3;Razgovarajte sa drugom ili drugaricom drugih vjeroispovijesti o tome kako oni doživljavaju svoju molitvu i napišite razgovor u obliku intervjua?
V10;NI-108-1;Kako nas u Kur'anu Allah, dž.š., poziva da Mu se obraćamo? U kojim prilikama se čovjek treba obraćati svome Gospodaru? Jesu li nam potrebne posebne pripreme da bismo se obratili Allahu, dž.š.? Zašto? 
V10;NI-108-2;Navedite vrijednosti namaza. Koja je razlika između tevbe i dove? 
V10;NI-108-3;Prekidanjem ove veze duša postaje nezadovoljna i traga za utočištem. Njen najbolji oslonaac i utočičište je Uzvišeni Allah.
V10;NI-108-4;Ne dozvoli da te izazovi današnjice (TV, računar, igrice i si.) odvrate od obraćanja Bogu. 
V10;NI-109-1;Primjer onoga ko spominje Allaha i onoga ko Ga ne spominje je kao primjer živog i mrtvog. 
V10;NI-109-2;U čemu je svrha ljudskog stvaranja? 
V10;NI-109-3;Kakav život imaju ljudi koji teže materijalnim blagodatima, a zapostavlja duhovne potrebe? Kakav je život vjernika? Opiši. 
V10;NI-109-4;Kako Muhammed, a.s., opisuje ljude koji se obraćaju Bogu? Allah, dž.š., daje uputu kako da mu se obraćamo. Objasni. 
V10;NI-110;Koji je povod posjete mladića pustinjaku? Zbog čega ga šejh nije htio saslušati? U čemu se ogledala mladićeva upornost? Zbog čega se mladić rasrdio i kakvo je pitanje postavio šejhu? Kakav odgovor je dobio od šejha? Izdvoji tu rečenicu iz teksta. 
V10;NI-11-1;"""Znanje je drvo života, a samo čovjek koji traži nauku može okusiti plodove ovog drveta. Mnogo je blagodati kojima znanje rađa, a vječni život je tek jedna od njih"""
V10;NI-111-1;Muslimani su počašćeni time što im je propisano pet dnevnih namaza: sabah, podne, ikindija, akšam i jacija.  
V10;NI-111-2;U rasporedu dnevnih namaza velika je mudrost. 
V10;NI-111-3;Koristi od namaza su neizmjerne: daje nam duševni mir i zadovoljstvo, sprečava nas da činimo loša djela, jača međusobnu ljubav u zajednici i održava nas zdravim i fizički, i psihički. 
V10;NI-11-2;O kome se govori u priči Voće života? Koji se likovi pojavljuju u priči? Opiši ih. Iz priče Izdvoji opise voća života? 
V10;NI-112-1;U čemu se ogleda Allahova mudrost u rasporedu dnevnih namaza? Pored pet dnevnih namaza, kojim namazima nas je Allah, dž.š., počastio tokom godine? Šta su nafila-namazi? 
V10;NI-112-2;Pored ljudi, Allallahu,dž.š., se klanjaju I Njegova ostala Stvorenja: biljke, životinje, meleki i cijeli kosmos. U Kur'anu je rečeno: Zar ne znaš da Allaha hvale svi oni koji su na nebesima i na Zemlji, a i ptice širenjem krila svojih! 
V10;NI-11-3;Šta je za tebe najveće bogatstvo? Objasni. Koje bogatstvo nam ljudi ne mogu oduzeti? Zašto? 
V10;NI-115;Koja mjesta muslimani koriste za obraćanje Allahu, dž.š,? Opiši unutrašnjost džamije. Koje se dodatne prostorije nalaze u sklopu džamije? Koje su najpoznatije džamije u Bosni i Hercegovini? Šta su tekije i koje su najpoznatije tekije kod nas? Šta su musalle? šta su mezaristani i čime se odlikuju? 
V10;NI-117-1;U lijepe međuljudske odnose ubraja se i poštivanje drugih i drukčijih. To se odnosi na molitve i bogomolje pripadnika drugih religija. Islam nas uči da su ljudi slobodni u odabiru vjerovanja ili nevjerovanja kao i u odabiru vjere koju će slijediti. Svaki čovjek ima prirodno pravo na izbor i njegov izbor treba uvažavati.
V10;NI-117-2;Navedi najpoznatija dovišta kod nas. Po čemu je poznato dovište Ajvatovica? I pripadnici drugih religija Imaju svoja mjesta obraćanja Bogu. Navedi neka. Kakav odnos trebamo graditi prema drugima i drukčijima? 
V10;NI-117-3;Dovišta kao mjesta okupljanja velikog broja muslimana, predstavljaju dio bošnjače tradicije. Okupljanja na dovištima trebaju biti u svrhu jačanja  muslimanskog bića približvanja Allahu, dž.š. Svaki boravak u prirodi treba iskoristiti u promatranju Božijih znakova i savršenstva Njegovoga stvaranja... Zajedničke dove na dovištima trebaju u nama jačati međusobibnu ljubav i povjerenje. 
V10;NI-117-5;"""… svima vama smo zakon i pravac propisali. A da je Allah htio, On bi vas sljedbenicima jedne vjere učinio, ali, On hoće da vas iskuša u onome što vam propisuje, zato se natječite ko će više dobra učiniti; Allahu ćete se svi vratiti, pa će vas On o onome u čemu ste se razilazili obavijestiti."" "
V10;NI-118-1;"Sinagoga se povezuje i s učenjem i u tom svojstvu naziva se bet midraš ili ""kuća učenja"". Svrha sinagoge je da bude mjesto vjerskog i društvenog okupljanja Jevreja. "
V10;NI-118-2;Samostani i manastiri su kršćanski vjerski objekti u kojima, prema utvrđenim pravilima, žive fratri, opatice, monasi i monahinje.
V10;NI-118-3;Da li ste nekada molili Boga u prirodnom okruženju? Opišite svoja osjećanja. 
V10;NI-119-1;Na koji način se odmaraš nakon povratka iz škole? Zbog čega je odmor važan dio čovjekovog života? 
V10;NI-119-2;šta se desilo krojaču Seidu kada je prestao klanjati podne-namaz? Zašto mu je Allah, dž.š., uskratio nafaku i sreću?
V10;NI-12-1;Kako te pjesnik savjetuje da uvećaš svoje znanje? Kako te znanje može približiti Bogu? Šta znanje donosi u ljudsko srce? 
V10;NI-122;Kako nam pjesnik ističe vrijednost svjetlosti? Potkrijepi stihovima. Koja je najveća potreba naše duše? Izdvoji stihove. U čemu se ogleda Ailahova, dž.š., milost? Pjesnik govori o težnji duše. U kojim stihovima? Čemu se naša duša najviše raduje? 
