Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
1;NI/ZS;Vjeronauka;B;6;V10;Uvod;Ne;;Da;solidarnost, odgovornost ZS-5;Ne;;;0;;;0;;;0;;;0;;
2;NI/ZS;Vjeronauka;B;6;V10;Moje potrebe i težnje - Novi početak;Ne;;Da;sloboda, odgovornost NI-6-1, ZS-6;Da;pobožnost NI-6-2;redukcija;1;ZS-7-a, ZS-7-b ;;1;NI-7-2, NI-7-4, ZS-7-a, ZS-7-b ;NI-7-1;0;;;0;;
3;NI/ZS;Vjeronauka;B;6;V10;Svijetu se ne može ugoditi (Tjelesne i duševne potrebe);Ne;;Da;odgovornost NI-8-2, NI-9-1;Da;pobožnost NI-8-1, NI-9-2;redukcija;1;ZS-8-a, NI-8-4;;1;ZS-9-a;;0;;;0;;
4;NI/ZS;Vjeronauka;B;6;V10;Uči, čitaj! Voće života;Ne;;Da;život NI-11-1, odgovornost NI-12-2;Da;pobožnost NI-12-3;redukcija;2;;ZS-11, ZS-12-a, NI-14;2;ZS-13, ZS-14-b, NI-11-3;ZS-12-b, NI-11-2, NI-12-1, NI-12-4;0;;;2;;NI-10
5;NI/ZS;Vjeronauka;B;6;V10;Pišem i čitam arebicu - Tajna iz nanine sehare;Ne;;Ne;;Ne;;;2;ZS-17-c;ZS-17-a;2;;NI-17-1, NI-17-2, NI-17-3;2;;NI-15-2;2;;NI-16
6;NI/ZS;Vjeronauka;B;6;V10;Drugi i ja zajedno - Nagluhi čovjek;Da;neravnopravnost ZS-20-a;Da;mir NI-20-3, jednakost, solidarnost, saradnja ZS-20-b, odgovornost ZS-21-a;Ne;;;1;ZS-21-b, ZS-21-c, NI-21-1;;1;ZS-21-a, NI-20-2, NI-21-2;NI-20-1;0;;;0;;
7;NI/ZS;Vjeronauka;B;6;V10;Poštivanje i dobri odnosi - Okrutni lav i pametni zec;Ne;;Da;mir, jednakost ZS-22, ZS-23-c ZS-23-e, ZS-23-d, ZS-23-f, sloboda, saradnja ZS-24, NI-22, NI-23-4, NI-23-5, NI-23-6;Da;pobožnost ZS-23, NI-23-1;redukcija ZS-23-a, imputacija;1;NI-23-3, NI-25-2;ZS-25-a;2;ZS-25-b, ZS-25-c;NI-23-2, NI-25-1;0;;;1;ZS-24;
8;NI/ZS;Vjeronauka;B;6;V10;Čuje li onaj što se poziva - Trgovac i papagaj (Izgradnja pozitivnih osobina);Ne;;Da;solidarnost ZS-27-b, ZS-27-c, odgovornost NI-27-5;Da;pobožnost NI-27-6;redukcija;1;ZS-27-a, NI-29-2;;1;ZS-29-b, ZS-27-c, NI-27-2, NI-27-3 ;NI-27-1, NI-29-1;2;;NI-27-7, NI-27-4;2;ZS-28;NI-26-1, NI-28
9;NI/ZS;Vjeronauka;B;6;V10;Ljut sam, jako sam ljut (Kontrola ljutnje);Ne;;Da;odgovornost NI-30-3, saradnja NI-31-2;Da;pobožnost NI-31-2;redukcija;1;ZS-31-a, NI-32-2;;1;ZS-32-a, ZS-32-b, NI-32-1;;2;;NI-30-2;0;;
10;NI/ZS;Vjeronauka;B;6;V10;Rješavanje sukoba - Mačke i majmun;Ne;;Da;odgovornost ZS-34-a, NI-34, saradnja NI-36-1 ;Ne;;;1;ZS-35-c, ZS-36-a, NI-33-2, NI-33-4;;1;ZS-35-a, ZS-35-b, NI 33-3, NI-35-2;NI-33-1;0;;;0;;
